,English,English_cleaned,Spanish,French,German
616,please answer me,please answer me,por favor respóndeme,s'il vous plait répondez moi,bitte antworte mir
617,please be honest,please be honest,"por favor, se honesto","S'il vous plaît, soyez honnête",Bitte sei ehrlich
618,please be polite,please be polite,por favor se cortés,s'il vous plaît soyez poli,bitte sei höflich
619,please come here,please come here,Por favor ven aquí,viens ici s'il-te-plaît,Komm bitte her
620,please copy this,please copy this,por favor copia esto,veuillez copier ceci,Bitte kopieren Sie diese
621,please don't ask,please do not ask,por favor no preguntes,s'il vous plaît ne demandez pas,Bitte fragen Sie nicht
622,please don't cry,please do not cry,por favor no llores,ne pleure pas s'il te plaît,bitte weine nicht
623,please don't die,please do not die,por favor no mueras,ne meurs pas s'il te plaît,bitte stirb nicht
624,please follow me,please follow me,por favor sígame,suis-moi s'il te plait,bitte folgen Sie mir
625,please phone him,please phone him,por favor llámalo,téléphonez-lui s'il vous plait,bitte ruf ihn an
626,please sign here,please sign here,"Por favor, firme aquí","Veuillez signer ici, s'il vous plaît",Unterschreiben Sie bitte hier
627,please sit still,please sit still,por favor siéntate quieto,s'il vous plaît restez assis,bitte sitz still
628,please try again,please try again,Inténtalo de nuevo,Veuillez réessayer,Bitte versuche es erneut
629,please wait here,please wait here,por favor espere aqui,"S'il vous plait, attendez ici",Bitte warte hier
630,prepare yourself,prepare yourself,Prepárate,prépare toi,bereiten Sie sich vor
631,pump up the tire,pump up the tire,inflar el neumático,gonfler le pneu,Pumpen Sie den Reifen auf
632,put on your coat,put on your coat,Ponte tu abrigo,mets ton manteau,zieh deinen Mantel an
633,put your mask on,put your mask on,ponte tu mascara,mets ton masque,setze deine Maske auf
634,quit complaining,quit complaining,deja de quejarte,arrête de te plaindre,hör auf zu meckern
635,quit hassling me,quit hassling me,deja de molestarme,arrête de me harceler,"Hör auf, mich zu belästigen"
636,rabbits can swim,rabbits can swim,los conejos pueden nadar,les lapins savent nager,Kaninchen können schwimmen
637,raise your hands,raise your hands,levanta tus manos,levez vos mains,heben Sie Ihre Hände
638,read the article,read the article,leer el artículo,lire l'article,lesen Sie den Artikel
639,recess is ending,recess is ending,se acaba el recreo,la récré se termine,Pause geht zu Ende
640,"red wine, please",red wine  please,vino tinto por favor,vin rouge s'il vous plait,Rotwein bitte
641,respect yourself,respect yourself,respetarte a ti mismo,respecte-toi,respektiere dich selbst
642,rome is in italy,rome is in italy,Roma está en Italia,Rome est en Italie,Rom liegt in Italien
643,roses smell good,roses smell good,las rosas huelen bien,les roses sentent bon,Rosen riechen gut
644,say it in french,say it in french,dilo en frances,dis le en français,sag es auf französisch
645,school is boring,school is boring,la escuela es aburrida,l'école est ennuyeuse,Schule ist langweilig
646,school's not fun,school s not fun,las escuelas no son divertidas,les écoles pas amusantes,Schulen machen keinen Spaß
647,search the house,search the house,buscar en la casa,fouiller la maison,das Haus durchsuchen
648,see for yourself,see for yourself,ver por ti mismo,voir par vous-même,überzeugen Sie sich selbst
649,see you at lunch,see you at lunch,nos vemos en el almuerzo,on se voit au déjeuner,Wir sehen uns beim Mittagessen
650,see you in class,see you in class,Te veo en clases,à bientôt en classe,wir sehen uns in der Klasse
651,see you tomorrow,see you tomorrow,te veo mañana,Rendez-vous demain,bis morgen
652,shall i continue,shall i continue,continúo,dois-je continuer,Soll ich fortfahren
653,shall i help you,shall i help you,Te ayudo,puis-je vous aider,soll ich dir helfen
654,she attacked him,she attacked him,ella lo atacó,elle l'a attaqué,sie hat ihn angegriffen
655,she became happy,she became happy,ella se puso feliz,elle est devenue heureuse,sie wurde glücklich
656,she began crying,she began crying,ella comenzó a llorar,elle a commencé à pleurer,sie fing an zu weinen
657,she betrayed you,she betrayed you,ella te traicionó,elle t'a trahi,sie hat dich verraten
658,she defeated him,she defeated him,ella lo derrotó,elle l'a vaincu,sie hat ihn besiegt
659,she despises him,she despises him,ella lo desprecia,elle le méprise,sie verachtet ihn
660,she did it again,she did it again,ella lo hizo de nuevo,elle l'a refait,sie hat es wieder getan
661,she didn't reply,she did not reply,ella no respondió,elle n'a pas répondu,sie antwortete nicht
662,she died from tb,she died from tb,ella murio de tuberculosis,elle est morte de la tuberculose,sie starb an tb
663,she died in 1960,she died in 1960,ella murió en 1960,elle est morte en 1960,sie starb 1960
664,she disliked him,she disliked him,ella no le gustaba,elle ne l'aimait pas,sie mochte ihn nicht
665,she divorced him,she divorced him,ella se divorció de él,elle a divorcé,sie hat sich von ihm scheiden lassen
666,she does know it,she does know it,ella lo sabe,elle le sait,sie weiß es
667,she has dry hair,she has dry hair,ella tiene el pelo seco,elle a les cheveux secs,sie hat trockene haare
668,she has no shame,she has no shame,ella no tiene vergüenza,elle n'a aucune honte,sie hat keine Scham
669,she has wet hair,she has wet hair,ella tiene el pelo mojado,elle a les cheveux mouillés,sie hat nasse haare
670,she idolized him,she idolized him,ella lo idolatraba,elle l'idolâtrait,sie vergötterte ihn
671,she insulted him,she insulted him,ella lo insulto,elle l'a insulté,sie hat ihn beleidigt
672,she is a pianist,she is a pianist,ella es pianista,elle est pianiste,sie ist Pianistin
673,she is a student,she is a student,ella es una estudiante,elle est une étudiante,sie ist ein Student
674,she is easygoing,she is easygoing,ella es tranquila,elle est facile à vivre,sie ist locker
675,she is mad at me,she is mad at me,ella esta enojada conmigo,elle est en colère contre moi,sie ist sauer auf mich
676,she is no beauty,she is no beauty,ella no es bella,elle n'est pas belle,sie ist keine Schönheit
677,she is not wrong,she is not wrong,ella no esta mal,elle n'a pas tort,sie hat nicht unrecht
678,she is obstinate,she is obstinate,ella es obstinada,elle est obstinée,sie ist hartnäckig
679,she is on a diet,she is on a diet,ella esta a dieta,elle est au régime,sie ist auf diät
680,she is very busy,she is very busy,ella esta muy ocupada,Elle est très occupée,Sie ist sehr beschäftigt
681,she is very wise,she is very wise,ella es muy sabia,elle est très sage,sie ist sehr weise
682,she just told me,she just told me,ella me acaba de decir,elle vient de me dire,sie hat es mir gerade gesagt
683,she kept working,she kept working,ella siguió trabajando,elle a continué à travailler,sie arbeitete weiter
684,she lost her way,she lost her way,ella perdió su camino,elle a perdu son chemin,sie hat sich verlaufen
685,she made a scene,she made a scene,ella hizo una escena,elle a fait une scène,Sie machte eine Szene
686,she made him cry,she made him cry,ella lo hizo llorar,elle l'a fait pleurer,sie brachte ihn zum weinen
687,she may not come,she may not come,ella no puede venir,elle peut ne pas venir,sie darf nicht kommen
688,she must be sick,she must be sick,ella debe estar enferma,elle doit être malade,sie muss krank sein
689,she put on socks,she put on socks,ella se puso calcetines,elle a mis des chaussettes,sie zog Socken an
690,she rejected him,she rejected him,ella lo rechazó,elle l'a rejeté,sie lehnte ihn ab
691,she repulses him,she repulses him,ella lo rechaza,elle le repousse,sie weist ihn zurück
692,she rode a camel,she rode a camel,ella montó un camello,elle est montée sur un chameau,sie ritt auf einem Kamel
693,she said goodbye,she said goodbye,Ella dijo adiós,elle a dit au revoir,sie verabschiedete sich
694,she smokes a lot,she smokes a lot,ella fuma mucho,elle fume beaucoup,sie raucht viel
695,she spoke wisely,she spoke wisely,ella habló sabiamente,elle a parlé sagement,sie sprach weise
696,she stared at me,she stared at me,ella me miro,elle m'a regardé,sie starrte mich an
697,she startled him,she startled him,ella lo asustó,elle l'a surpris,sie erschreckte ihn
698,she stood by him,she stood by him,ella estuvo a su lado,elle était à ses côtés,sie stand ihm bei
699,she studies hard,she studies hard,ella estudia mucho,elle étudie dur,sie lernt fleißig
700,she surprised me,she surprised me,ella me sorprendió,elle m'a surpris,sie hat mich überrascht
701,she talked a lot,she talked a lot,ella hablaba mucho,elle a beaucoup parlé,sie hat viel geredet
702,she took my hand,she took my hand,ella tomó mi mano,elle m'a pris la main,sie nahm meine Hand
703,she was homesick,she was homesick,ella estaba nostálgica,elle avait le mal du pays,sie hatte Heimweh
704,she was in agony,she was in agony,ella estaba en agonía,elle était à l'agonie,sie war in Qual
705,she was promoted,she was promoted,ella fue ascendida,elle a été promue,sie wurde befördert
706,she was swimming,she was swimming,ella estaba nadando,elle nageait,sie war schwimmen
707,she wore glasses,she wore glasses,ella usaba lentes,elle portait des lunettes,sie trug eine brille
708,she worships him,she worships him,ella lo adora,elle le vénère,sie verehrt ihn
709,she's a bad liar,she is a bad liar,ella es una mala mentirosa,c'est une mauvaise menteuse,sie ist eine schlechte Lügnerin
710,she's nice to me,she is nice to me,ella es amable conmigo,elle est gentille avec moi,sie ist nett zu mir
711,she's not a liar,she is not a liar,ella no es una mentirosa,elle n'est pas une menteuse,sie ist keine lügnerin
712,she's very upset,she is very upset,ella esta muy molesta,elle est très énervée,sie ist sehr aufgebracht
713,shots were fired,shots were fired,se dispararon tiros,des coups de feu ont été tirés,Schüsse fielen
714,should we cancel,should we cancel,deberíamos cancelar,devrions-nous annuler,sollen wir stornieren
715,show us the room,show us the room,muéstranos la habitación,montre nous la chambre,Zeig uns das Zimmer
716,shut that boy up,shut that boy up,calla a ese chico,ferme ce garçon,halt den Jungen zum Schweigen
717,sit down with me,sit down with me,siéntate conmigo,asseyez-vous avec moi,setz dich zu mir
718,"sit down, please",sit down  please,"siéntese, por favor",asseyez-vous s'il vous plait,Setz dich bitte
719,so what happened,so what happened,entonces qué pasó,"alors, qu'est-ce-qu'il s'est passé",also was ist passiert
720,some pitied them,some pitied them,algunos se compadecieron de ellos,certains ont eu pitié d'eux,manche bemitleideten sie
721,somebody laughed,somebody laughed,alguien se rio,quelqu'un a ri,jemand lachte
722,somebody saw you,somebody saw you,alguien te vio,quelqu'un t'a vu,jemand hat dich gesehen
723,someone is lying,someone is lying,alguien esta mintiendo,quelqu'un ment,jemand lügt
724,someone screamed,someone screamed,alguien gritó,quelqu'un a crié,jemand schrie
725,someone was here,someone was here,alguien estuvo aqui,quelqu'un était ici,jemand war hier
726,someone's coming,someone s coming,alguien viene,quelqu'un arrive,Jemand kommt
727,something bit me,something bit me,algo me mordio,quelque chose m'a mordu,etwas hat mich gebissen
728,something stinks,something stinks,algo huele mal,quelque chose pue,etwas stinkt
729,sorry about that,sorry about that,lo lamento,Désolé pour ça,Das tut mir leid
730,sorry to be late,sorry to be late,lamento llegar tarde,désolé d'être en retard,"Entschuldigung, dass ich zu spät bin"
731,"sorry, i am late",sorry  i am late,siento llegar tarde,désolée je suis en retard,"tut mir leid, ich bin zu spät"
732,spiders scare me,spiders scare me,las arañas me asustan,les araignées me font peur,Spinnen machen mir Angst
733,"spit it out, tom",spit it out  tom,escúpelo tom,recrache tom,Spuck es aus Tom
734,spring is coming,spring is coming,la primavera está llegando,le printemps arrive,der Frühling kommt
735,"stand up, please",stand up  please,ponerse de pie por favor,Debout s'il vous plait,Stehen Sie bitte auf
736,stay in your car,stay in your car,quédate en tu auto,reste dans ta voiture,bleib in deinem Auto
737,stay out of this,stay out of this,mantenerse al margen de esta,Reste en dehors de cela,halt dich raus
738,stay right there,stay right there,Quédate ahí,rester là,Bleib hier
739,stop apologizing,stop apologizing,deja de disculparte,arrête de t'excuser,hör auf dich zu entschuldigen
740,stop being cruel,stop being cruel,deja de ser cruel,arrête d'être cruelle,hör auf grausam zu sein
741,stop right there,stop right there,alto ahí,arrête toi là,halt dort an
742,stop showing off,stop showing off,deja de alardear,arrête de te montrer,aufhören anzugeben
743,stop the car now,stop the car now,detener el coche ahora,arrête la voiture maintenant,Stoppen Sie das Auto jetzt
744,summer has ended,summer has ended,el verano ha terminado,l'été est terminé,der Sommer ist zu Ende
745,summer is coming,summer is coming,se acerca el verano,l'été arrive,Sommer kommt
746,swimming is easy,swimming is easy,nadar es fácil,la natation est facile,Schwimmen ist einfach
747,take tom outside,take tom outside,lleva a tom afuera,emmener Tom dehors,Bring Tom nach draußen
748,take precautions,take precautions,toma precauciones,prenez vos précautions,Vorkehrungen trefffen
749,take us with you,take us with you,llévanos contigo,emmène nous avec toi,nimm uns mit
750,tell dad to come,tell dad to come,dile a papá que venga,dis à papa de venir,"Sag Papa, er soll kommen"
751,tell tom to wait,tell tom to wait,dile a tom que espere,dis à tom d'attendre,"Sag Tom, er soll warten"
752,tell him to wait,tell him to wait,dile que espere,dis lui d'attendre,"Sag ihm, er soll warten"
753,tell me about it,tell me about it,Cuéntame sobre eso,parle-moi de ça,Erzähl mir davon
754,thank you kindly,thank you kindly,Gracias por su amabilidad,Merci de bien vouloir,dankesehr
755,thanks a million,thanks a million,un millón de gracias,mille mercis,tausend Dank
756,thanks very much,thanks very much,muchas gracias,Merci beaucoup,vielen Dank
757,that book is old,that book is old,ese libro es viejo,ce livre est vieux,das Buch ist alt
758,that car is hers,that car is hers,ese carro es de ella,cette voiture est à elle,das Auto gehört ihr
759,that didn't help,that did not help,eso no ayudó,ça n'a pas aidé,das hat nicht geholfen
760,that didn't work,that did not work,eso no funcionó,ça n'a pas marché,das hat nicht funktioniert
761,that explains it,that explains it,Eso lo explica,Ceci explique cela,das erklärt es
762,that helps a bit,that helps a bit,eso ayuda un poco,ça aide un peu,das hilft etwas
763,that helps a lot,that helps a lot,eso ayuda mucho,ça aide beaucoup,das hilft sehr
764,that is a pencil,that is a pencil,Eso es un lápiz,c'est un crayon,Das ist ein Stift
765,that is not true,that is not true,eso no es verdad,ce n'est pas vrai,das ist nicht wahr
766,that isn't a cat,that is not a cat,eso no es un gato,ce n'est pas un chat,das ist keine katze
767,that made me cry,that made me cry,eso me hizo llorar,qui m'a fait pleurer,das hat mich zum weinen gebracht
768,that made me mad,that made me mad,eso me hizo enojar,ça m'a rendu fou,das hat mich wahnsinnig gemacht
769,that makes sense,that makes sense,eso tiene sentido,ça a du sens,Das macht Sinn
770,that plan failed,that plan failed,ese plan fracasó,ce plan a échoué,dieser Plan scheiterte
771,that seems clear,that seems clear,eso parece claro,cela semble clair,das scheint klar
772,that seems right,that seems right,eso parece correcto,ça semble juste,das scheint richtig
773,that smells nice,that smells nice,eso huele bien,ça sent bon,das riecht gut
774,that sounds fair,that sounds fair,suena justo,ça sonne juste,das klingt fair
775,that was a shock,that was a shock,eso fue un shock,ce fut un choc,das war ein schock
776,that was amazing,that was amazing,eso fue increíble,c'était incroyable,das war Hervorragend
777,that was awesome,that was awesome,eso fue asombroso,c'était génial,das war wunderbar
778,that was my goal,that was my goal,ese era mi objetivo,c'était mon but,das war mein ziel
779,that was my idea,that was my idea,esa fue mi idea,c'était mon idée,das war meine idee
780,that was no good,that was no good,eso no fue bueno,ce n'était pas bon,das war nicht gut
781,that was nothing,that was nothing,eso no fue nada,ce n'était rien,das war nichts
782,that was obvious,that was obvious,eso era obvio,c'était évident,das war offensichtlich
783,that was so cool,that was so cool,eso fue genial,c'était tellement cool,das war so cool
784,that wasn't good,that was not good,eso no fue bueno,ce n'était pas bon,das war nicht gut
785,that wasn't nice,that was not nice,eso no ha sido bonito,ce n'était pas gentil,Das war nicht nett
786,that will not do,that will not do,Eso no servirá,ça n'ira pas,das geht nicht
787,that's a big one,that is a big one,eso es grande,c'est un grand,das ist eine große
788,that's a mistake,that is a mistake,eso es un error,c'est une erreur,das ist ein Fehler
789,that's a promise,that is a promise,eso es una promesa,c'est une promesse,das ist ein versprechen
790,that's about all,that is about all,eso es todo,c'est à peu près tout,das ist alles
791,that's all i ask,that is all i ask,eso es todo lo que pido,c'est tout ce que je demande,das ist alles was ich frage
792,that's all i did,that is all i did,eso es todo lo que hice,c'est tout ce que j'ai fait,das ist alles was ich getan habe
793,that's all i got,that is all i got,eso es todo lo que tengo,c'est tout ce que j'ai,das ist alles was ich habe
794,that's all i saw,that is all i saw,eso es todo lo que vi,c'est tout ce que j'ai vu,das ist alles was ich gesehen habe
795,that's all wrong,that is all wrong,todo eso esta mal,tout est faux,das ist alles falsch
796,that's avoidable,that is avoidable,eso es evitable,c'est évitable,das ist vermeidbar
797,that's beautiful,that is beautiful,eso es hermoso,C'est beau,das ist schön
798,that's blackmail,that is blackmail,eso es chantaje,c'est du chantage,das ist Erpressung
799,that's brilliant,that is brilliant,eso es brillante,c'est brillant,das ist genial
800,that's dangerous,that is dangerous,eso es peligroso,c'est dangereux,das ist gefährlich
801,that's expensive,that is expensive,eso es costoso,C'est cher,Das ist teuer
802,that's fantastic,that is fantastic,eso es fantástico,c'est fantastique,das ist fantastisch
803,that's hilarious,that is hilarious,Eso es divertido,c'est hilarant,Das ist sehr komisch
804,that's his horse,that is his horse,ese es su caballo,c'est son cheval,das ist sein pferd
805,that's his house,that is his house,esa es su casa,c'est sa maison,das ist sein Haus
806,that's how it is,that is how it is,así es como es,c'est comme ça,so ist es
807,that's idle talk,that is idle talk,eso es una charla ociosa,c'est un bavardage,das ist Gerede
808,that's important,that is important,eso es importante,c'est important,das ist wichtig
809,that's just life,that is just life,eso es solo vida,c'est juste la vie,das ist halt das leben
810,that's ludicrous,that is ludicrous,eso es ridículo,c'est ridicule,das ist lächerlich
811,that's my affair,that is my affair,ese es mi asunto,c'est mon affaire,das ist meine sache
812,that's my mother,that is my mother,esa es mi madre,c'est ma mère,das ist meine Mutter
813,that's no excuse,that is no excuse,eso no es excusa,ce n'est pas une excuse,das ist keine entschuldigung
814,that's no secret,that is no secret,eso no es un secreto,ce n'est pas un secret,das ist kein Geheimnis
815,that's not a job,that is not a job,eso no es un trabajo,ce n'est pas un travail,das ist keine arbeit
816,that's not funny,that is not funny,eso no es divertido,ce n'est pas drôle,das ist nicht lustig
817,that's not wrong,that is not wrong,eso no esta mal,ce n'est pas faux,das ist nicht falsch
818,that's not yours,that is not yours,eso no es tuyo,ce n'est pas le tien,das ist nicht deins
819,that's our fault,that is our fault,eso es culpa nuestra,c'est notre faute,das ist unsere schuld
820,that's our house,that is our house,esa es nuestra casa,c'est notre maison,das ist unser Haus
821,that's so ironic,that is so ironic,eso es tan irónico,c'est tellement ironique,das ist so ironisch
822,that's so tragic,that is so tragic,eso es tan tragico,c'est tellement tragique,das ist so tragisch
823,that's so untrue,that is so untrue,eso es tan falso,c'est tellement faux,das ist so unwahr
824,that's the limit,that is the limit,ese es el limite,c'est la limite,das ist die grenze
825,that's the point,that is the point,ese es el punto,C'est le but,Das ist der Punkt
826,that's troubling,that is troubling,eso es preocupante,c'est troublant,das ist beunruhigend
827,"that's true, too",that is true  too,eso también es cierto,c'est vrai aussi,das stimmt auch
828,that's upsetting,that is upsetting,eso es molesto,c'est bouleversant,das ist ärgerlich
829,that's very cute,that is very cute,eso es muy lindo,c'est très mignon,das ist sehr süß
830,that's very easy,that is very easy,eso es muy facil,c'est très facile,das ist ganz einfach
831,that's very good,that is very good,Eso es muy bueno,c'est très bien,das ist sehr gut
832,that's very hard,that is very hard,eso es muy dificil,c'est très dur,das ist sehr schwer
833,that's very kind,that is very kind,eso es muy amable,c'est très gentil,das ist sehr nett
834,that's very true,that is very true,eso es muy cierto,c'est très vrai,das ist sehr wahr
835,that's your duty,that is your duty,ese es tu deber,C'est votre devoir,das ist deine Pflicht
836,that's your half,that is your half,esa es tu mitad,c'est ta moitié,das ist deine hälfte
837,that's your idea,that is your idea,esa es tu idea,c'est ton idée,das ist deine idee
838,the tv is broken,the tv is broken,la televisión está rota,la télé est en panne,der fernseher ist kaputt
839,the answer is no,the answer is no,la respuesta es no,La réponse est non,Die Antwort ist nein
840,the answer's yes,the answer s yes,la respuesta es si,la réponse est oui,die antwort ist ja
841,the apple is red,the apple is red,la manzana es roja,la pomme est rouge,der Apfel ist rot
842,"the bill, please",the bill  please,"la cuenta, por favor",l'addition s'il vous plait,die Rechnung bitte
843,the bird is dead,the bird is dead,el pájaro está muerto,l'oiseau est mort,der Vogel ist tot
844,the book is easy,the book is easy,el libro es facil,le livre est facile,das buch ist einfach
845,the book is here,the book is here,el libro esta aqui,le livre est ici,das buch ist da
846,the book is mine,the book is mine,el libro es mio,Le livre est le mien,das Buch gehört mir
847,the book's white,the book s white,el libro es blanco,le livre est blanc,das Buch ist weiß
848,the bus was full,the bus was full,el autobús estaba lleno,le bus était plein,Der Bus war voll
849,the car is ready,the car is ready,el carro esta listo,la voiture est prête,das Auto ist fertig
850,the cat is black,the cat is black,el gato es negro,le chat est noir,die Katze ist schwarz
851,the curtain fell,the curtain fell,cayó el telón,le rideau est tombé,der Vorhang fiel
852,the curtain rose,the curtain rose,se levantó el telón,le rideau s'est levé,der Vorhang ging auf
853,the dog is dying,the dog is dying,el perro se esta muriendo,le chien est en train de mourir,der hund stirbt
854,the dog is white,the dog is white,el perro es blanco,le chien est blanc,der hund ist weiß
855,the dog was dead,the dog was dead,el perro estaba muerto,le chien était mort,der hund war tot
856,the dogs are wet,the dogs are wet,los perros estan mojados,les chiens sont mouillés,Die Hunde sind nass
857,the door creaked,the door creaked,la puerta crujió,la porte a grincé,die Tür knarrte
858,the door is open,the door is open,la puerta está abierta,la porte est ouverte,die Tür ist offen
859,the doors opened,the doors opened,las puertas se abrieron,les portes se sont ouvertes,die Türen öffneten sich
860,the food is cold,the food is cold,la comida esta fria,la nourriture est froide,das Essen ist kalt
861,the food is good,the food is good,la comida es buena,la nourriture est bonne,das Essen ist gut
862,the game is over,the game is over,el juego ha terminado,le jeu est terminé,Das Spiel ist vorbei
863,the joke's on us,the joke s on us,la broma es sobre nosotros,la blague est sur nous,der Witz geht auf uns
864,the jury is hung,the jury is hung,el jurado esta colgado,le jury est pendu,Die Jury wird gehängt
865,the law is clear,the law is clear,la ley es clara,la loi est claire,das Gesetz ist klar
866,the light is off,the light is off,la luz está apagada,la lumière est éteinte,das Licht ist aus
867,the light is out,the light is out,la luz esta apagada,la lumière est éteinte,das Licht ist aus
868,the light was on,the light was on,la luz estaba encendida,la lumière était allumée,das Licht war an
869,the line is busy,the line is busy,La línea está ocupada,La ligne est occupée,Die Leitung ist besetzt
870,the man is right,the man is right,el hombre tiene razon,l'homme a raison,der mann hat recht
871,the mass is over,the mass is over,se acabo la misa,la messe est finie,die Masse ist vorbei
872,the milk is sour,the milk is sour,la leche esta agria,le lait est aigre,Die Milch ist sauer
873,the night is hot,the night is hot,la noche es caliente,la nuit est chaude,Die Nacht ist heiß
874,the pain is gone,the pain is gone,el dolor se ha ido,La douleur est partie,der Schmerz ist weg
875,the party's over,the party s over,se acabo la fiesta,la fête est finie,die Party ist zu Ende
876,the pool is full,the pool is full,la piscina esta llena,la piscine est pleine,das Becken ist voll
877,the rest is easy,the rest is easy,el resto es facil,le reste est facile,der Rest ist einfach
878,the room is dark,the room is dark,la habitación está oscura,la pièce est sombre,Der Raum ist dunkel
879,the sea is rough,the sea is rough,el mar es áspero,la mer est agitée,das Meer ist rau
880,the sea was calm,the sea was calm,el mar estaba en calma,la mer était calme,das Meer war ruhig
881,the sky is clear,the sky is clear,el cielo esta despejado,le ciel est clair,der Himmel ist klar
882,the sky was dark,the sky was dark,el cielo estaba oscuro,le ciel était sombre,der Himmel war dunkel
883,the sky was gray,the sky was gray,el cielo estaba gris,le ciel était gris,der Himmel war grau
884,the soup is cold,the soup is cold,la sopa esta fría,la soupe est froide,Die Suppe ist kalt
885,the switch is on,the switch is on,el interruptor está encendido,l'interrupteur est allumé,der Schalter ist eingeschaltet
886,the tank is full,the tank is full,el tanque esta lleno,le réservoir est plein,der Tank ist voll
887,the towel is wet,the towel is wet,la toalla esta mojada,la serviette est mouillée,Das Handtuch ist nass
888,the twins smiled,the twins smiled,los gemelos sonrieron,les jumeaux ont souri,die Zwillinge lächelten
889,the water is hot,the water is hot,el agua está caliente,l'eau est chaude,Das Wasser ist heiß
890,the water is icy,the water is icy,el agua esta helada,l'eau est glacée,das wasser ist eisig
891,the water's cold,the water s cold,el agua esta fria,l'eau est froide,das Wasser ist kalt
892,the water's warm,the water s warm,el agua esta tibia,l'eau est chaude,das Wasser ist warm
893,the well ran dry,the well ran dry,el pozo se secó,le puits s'est asséché,der Brunnen versiegte
894,there are limits,there are limits,hay límites,il y a des limites,es gibt grenzen
895,there aren't any,there are not any,no hay ninguno,il n'y en a pas,es gibt keine
896,there is no hope,there is no hope,no hay esperanza,il n'y a pas d'espoir,es gibt keine Hoffnung
897,there's no doubt,there is no doubt,no hay duda,il n'y a pas de doute,es gibt keinen Zweifel
898,there's no guard,there is no guard,no hay guardia,il n'y a pas de garde,es gibt keine Wache
899,there's no hurry,there is no hurry,No hay prisa,il n'y a pas d'urgence,es hat keine Eile
900,there's no knife,there is no knife,no hay cuchillo,il n'y a pas de couteau,es gibt kein Messer
901,there's no limit,there is no limit,No hay límite,il n'y a pas de limites,es gibt keine Grenzen
902,there's no money,there is no money,no hay dinero,il n'y a pas d'argent,es gibt kein geld
903,there's no proof,there is no proof,no hay prueba,il n'y a aucune preuve,es gibt keinen Beweis
904,there's no sugar,there is no sugar,no hay azúcar,il n'y a pas de sucre,es gibt keinen zucker
905,there's no water,there is no water,no hay agua,il n'y a pas d'eau,da ist kein Wasser
906,these are my cds,these are my cds,estos son mis cds,ce sont mes cd,das sind meine cds
907,they all changed,they all changed,todos cambiaron,ils ont tous changé,sie haben sich alle verändert
908,they all cheated,they all cheated,todos hicieron trampa,ils ont tous triché,sie haben alle betrogen
909,they all cheered,they all cheered,todos vitorearon,ils ont tous applaudi,sie alle jubelten
910,they all drowned,they all drowned,todos se ahogaron,ils se sont tous noyés,sie sind alle ertrunken
911,they all entered,they all entered,todos entraron,ils sont tous entrés,sie alle traten ein
912,they all scoffed,they all scoffed,todos se burlaron,ils se sont tous moqués,sie alle spotteten
913,they all stopped,they all stopped,todos se detuvieron,ils ont tous arrêté,sie blieben alle stehen
914,they all watched,they all watched,todos miraron,ils ont tous regardé,sie alle sahen zu
915,they are russian,they are russian,ellos son rusos,ils sont russes,sie sind russen
916,they are arguing,they are arguing,ellos estan discutiendo,ils se disputent,Sie streiten sich
917,they are artists,they are artists,ellos son artistas,ce sont des artistes,sie sind Künstler
918,they are doctors,they are doctors,ellos son doctores,elles sont médecins,Sie sind Ärzte
919,they are singers,they are singers,Ellos son cantantes,ils sont chanteurs,sie sind Sänger
920,they blocked her,they blocked her,la bloquearon,ils l'ont bloquée,sie haben sie blockiert
921,they calmed down,they calmed down,se calmaron,ils se sont calmés,sie beruhigten sich
922,they deceived us,they deceived us,nos engañaron,ils nous ont trompés,sie haben uns betrogen
923,they deserved it,they deserved it,se lo merecían,ils le méritaient,sie haben es verdient
924,they despise you,they despise you,te desprecian,ils te méprisent,sie verachten dich
925,they did nothing,they did nothing,no hicieron nada,ils n'ont rien fait,sie haben nichts getan
926,they didn't know,they did not know,no sabían,ils n'étaient pas au courant,Sie wussten es nicht
927,they disappeared,they disappeared,ellos desaparecieron,ils ont disparu,Sie verschwanden
928,they go shopping,they go shopping,ellos se van de compras,ils font du shopping,Sie gehen einkaufen
929,they got married,they got married,se casaron,ils se sont mariés,Sie haben geheiratet
930,they grew closer,they grew closer,se acercaron,ils se sont rapprochés,sie kamen sich näher
931,they had no food,they had no food,no tenían comida,ils n'avaient pas de nourriture,sie hatten nichts zu essen
932,they have a plan,they have a plan,ellos tienen un plan,ils ont un plan,Sie haben einen Plan
933,they lied to you,they lied to you,te mintieron,ils t'ont menti,sie haben dich angelogen
934,they like apples,they like apples,les gustan las manzanas,ils aiment les pommes,sie mögen Äpfel
935,they live nearby,they live nearby,ellos viven cerca,ils habitent à côté,sie wohnen in der nähe
936,they love coffee,they love coffee,les encanta el cafe,ils aiment le café,Sie lieben Kaffee
937,they made her go,they made her go,la hicieron ir,ils l'ont fait partir,sie haben sie gehen lassen
938,they saw nothing,they saw nothing,no vieron nada,ils n'ont rien vu,sie sahen nichts
939,they took a walk,they took a walk,dieron un paseo,ils se sont promenés,sie gingen spazieren
940,they trusted you,they trusted you,confiaron en ti,ils t'ont fait confiance,sie haben dir vertraut
941,they were hungry,they were hungry,Estaban hambrientos,Ils étaient affamés,Sie waren hungrig
942,they work for me,they work for me,ellos trabajan para mi,ils travaillent pour moi,sie arbeiten für mich
